Sr.,Job Start Date,Scrape Sale Qty.,Rate in Rs./Kg.,Amount in Rs.
895,2022-07-06 00:00:00,100,18,1800
896,2022-06-25 00:00:00,100,17,1700
897,2022-08-18 00:00:00,240,29,6960
898,2022-08-10 00:00:00,890,26.9663,24000.007
899,2022-08-25 00:00:00,360,25,9000
900,2022-08-17 00:00:00,720,30,21600
901,2022-08-08 00:00:00,503,34,17102
902,2022-08-04 00:00:00,970,27.938,27099.86
903,2022-08-21 00:00:00,410,30,12300
904,2022-08-29 00:00:00,1010,32,32320
905,2022-08-31 00:00:00,390,29,11310
906,2022-06-12 00:00:00,477,21,10017
907,2022-06-22 00:00:00,542,21,11382
908,2022-07-02 00:00:00,590,22,12980
909,2022-07-15 00:00:00,460,22,10120
910,2022-08-07 00:00:00,170,27.0412,4597.004
911,2022-09-06 00:00:00,170,30,5100
912,2022-04-10 00:00:00,905,24,21720
913,2022-09-05 00:00:00,540,30,16200
914,2022-07-27 00:00:00,805,19,15295
915,2022-09-04 00:00:00,301,26,7826
916,2022-09-09 00:00:00,560,29,16240
917,2022-05-16 00:00:00,525,28,14700
918,2022-09-15 00:00:00,720,27.5,19800
919,2022-09-12 00:00:00,1275,31,39525
920,2022-09-17 00:00:00,780,26,20280
921,2022-09-18 00:00:00,810,25,20250
922,2022-09-24 00:00:00,550,25.5,14025
923,2022-04-30 00:00:00,560,23,12880
924,2022-07-24 00:00:00,384,30.98961,11900.01024
925,2022-09-19 00:00:00,500,26.5,13250
926,2022-09-27 00:00:00,386,23.5285,9082.001
