Sr.,Job Start Date,Scrape Sale Qty.,Rate in Rs./Kg.,Amount in Rs.
338,2020-02-06 00:00:00,640,16,10240
339,2020-02-11 00:00:00,245,16,3920
340,2019-12-28 00:00:00,1230,12,14760
341,2019-07-25 00:00:00,705,16,11280
342,2019-08-05 00:00:00,665,14,9310
343,2019-08-28 00:00:00,710,12,8520
344,2019-09-04 00:00:00,450,11,4950
345,2019-09-09 00:00:00,343,16,5488
346,2019-09-21 00:00:00,1080,12,12960
347,2019-09-29 00:00:00,380,12,4560
348,2019-10-03 00:00:00,430,13,5590
349,2019-10-08 00:00:00,345,13,4485
350,2019-04-02 00:00:00,610,16,9760
351,2019-05-11 00:00:00,305,15,4575
352,2020-02-24 00:00:00,515,12,6180
353,2020-02-17 00:00:00,786,14,11004
354,2020-03-10 00:00:00,350,13,4550
355,2019-11-15 00:00:00,71,16,1136
356,2019-12-02 00:00:00,775,11,8525
357,2019-12-06 00:00:00,510,10,5100
358,2019-12-11 00:00:00,680,11,7480
359,2020-01-01 00:00:00,350,12,4200
360,2020-02-11 00:00:00,1220,12,14640
361,2020-05-15 00:00:00,260,10,2600
362,2020-05-14 00:00:00,267,12,3204
363,2020-05-24 00:00:00,152,12,1824
364,2020-06-03 00:00:00,480,15.5,7440
365,2020-05-29 00:00:00,260,15,3900
366,2020-06-08 00:00:00,445,14,6230
367,2020-05-26 00:00:00,750,14,10500
368,2019-04-07 00:00:00,575,15,8625
369,2019-09-14 00:00:00,540,16.5,8910
370,2020-03-10 00:00:00,1010,15,15150
371,2020-06-19 00:00:00,800,12.5,10000
372,2020-06-18 00:00:00,1050,10,10500
373,2020-06-25 00:00:00,1050,14,14700
374,2020-06-25 00:00:00,410,10,4100
375,2020-06-15 00:00:00,1260,12,15120
376,2020-07-14 00:00:00,285,14,3990
377,2020-05-15 00:00:00,535,12.88,6890.8
378,2020-07-09 00:00:00,296,10.5,3108
379,2020-07-18 00:00:00,245,15,3675
380,2020-07-20 00:00:00,186,14,2604
381,2020-07-28 00:00:00,355,14.366,5099.93
382,2020-07-30 00:00:00,936,14.893,13939.848
383,2020-08-10 00:00:00,152,14,2128
384,2020-07-29 00:00:00,419,15,6285
385,2020-08-06 00:00:00,1040,14,14560
386,2020-07-27 00:00:00,380,30,11400
387,2020-07-27 00:00:00,710,11,7810
388,2020-08-10 00:00:00,372,12,4464
389,2020-08-16 00:00:00,200,12.5,2500
390,2020-08-18 00:00:00,280,30,8400
391,2020-08-18 00:00:00,80,12,960
392,2020-06-09 00:00:00,685,17,11645
393,2020-06-27 00:00:00,235,12,2820
394,2020-06-28 00:00:00,350,12,4200
395,2020-07-09 00:00:00,400,15,6000
396,2020-06-09 00:00:00,485,11,5335
397,2020-04-25 00:00:00,940,17,15980
398,2020-08-17 00:00:00,870,14,12180
399,2020-08-31 00:00:00,180,14.555,2619.9
400,2020-07-13 00:00:00,420,17,7140
401,2020-08-13 00:00:00,560,13.5,7560
402,2020-09-04 00:00:00,710,11,7810
403,2020-08-29 00:00:00,270,30,8100
404,2020-08-29 00:00:00,710,12,8520
405,2020-08-25 00:00:00,150,11.15,1672.5
406,2020-08-26 00:00:00,270,11,2970
407,2020-09-05 00:00:00,820,11,9020
408,2020-09-06 00:00:00,370,14,5180
409,2020-07-13 00:00:00,695,11,7645
410,2020-07-22 00:00:00,680,9,6120
411,2020-07-26 00:00:00,430,11,4730
412,2020-08-10 00:00:00,689,10,6890
413,2020-05-20 00:00:00,1150,11,12650
414,2020-08-01 00:00:00,400,15,6000
415,2020-08-20 00:00:00,1130,16,18080
416,2020-08-30 00:00:00,220,14,3080
417,2020-08-02 00:00:00,624,10,6240
418,2020-06-24 00:00:00,1030,10,10300
419,2020-07-13 00:00:00,190,10,1900
420,2020-07-18 00:00:00,100,10,1000
421,2020-07-21 00:00:00,280,10,2800
422,2020-08-15 00:00:00,600,15,9000
423,2020-08-19 00:00:00,600,15,9000
424,2020-08-22 00:00:00,600,15,9000
425,2020-09-06 00:00:00,265,14,3710
426,2020-08-13 00:00:00,265,14,3710
427,2020-09-02 00:00:00,875,13,11375
428,2020-09-07 00:00:00,195,13,2535
429,2020-09-13 00:00:00,235,13,3055
430,2020-08-15 00:00:00,435,10,4350
431,2020-09-20 00:00:00,1010,13,13130
432,2020-06-05 00:00:00,450,12,5400
433,2020-09-08 00:00:00,207,17,3519
434,2020-09-22 00:00:00,420,18,7560
435,2020-09-27 00:00:00,380,17,6460
436,2020-08-16 00:00:00,210,12,2520
437,2020-09-28 00:00:00,940,17,15980
438,2020-06-12 00:00:00,147,12,1764
439,2020-06-15 00:00:00,147,12,1764
440,2020-06-08 00:00:00,149,12,1788
441,2020-06-09 00:00:00,148.17,12,1778.04
442,2020-09-14 00:00:00,840,14,11760
443,2020-09-19 00:00:00,770,14,10780
444,2020-10-04 00:00:00,555,14,7770
445,2020-10-02 00:00:00,815,18,14670
446,2020-06-06 00:00:00,700,12,8400
447,2020-09-15 00:00:00,730,10,7300
448,2020-09-26 00:00:00,930,12,11160
449,2020-09-24 00:00:00,380,15,5700
450,2020-09-28 00:00:00,380,15,5700
451,2020-10-04 00:00:00,375,15,5625
452,2020-10-04 00:00:00,482.65,17,8205.05
453,2020-09-24 00:00:00,180,13,2340
454,2020-09-24 00:00:00,400,30,12000
455,2020-10-06 00:00:00,730,13,9490
456,2020-09-09 00:00:00,330,10,3300
457,2020-10-01 00:00:00,440,15.5,6820
458,2020-10-18 00:00:00,1050,15,15750
459,2020-10-13 00:00:00,630,14,8820
460,2020-08-06 00:00:00,345,10,3450
461,2020-10-23 00:00:00,960,14,13440
462,2020-10-22 00:00:00,1060,17,18020
463,2020-11-02 00:00:00,440,17,7480
464,2020-10-13 00:00:00,810,13,10530
465,2020-10-15 00:00:00,691,15,10365
466,2020-10-23 00:00:00,890,14,12460
467,2020-11-05 00:00:00,690,16,11040
468,2020-11-04 00:00:00,290,14,4060
469,2020-11-01 00:00:00,290,14,4060
470,2020-11-05 00:00:00,830,14,11620
471,2020-11-20 00:00:00,400,17,6800
472,2020-11-12 00:00:00,810,12,9720
473,2020-10-27 00:00:00,1280,20,25600
474,2020-05-14 00:00:00,810,18,14580
475,2020-07-17 00:00:00,825,20,16500
476,2020-03-02 00:00:00,30,14,420
477,2020-11-06 00:00:00,150,14,2100
478,2020-10-11 00:00:00,60,30,1800
479,2020-11-08 00:00:00,360,15,5400
480,2020-11-11 00:00:00,190,10,1900
481,2020-10-31 00:00:00,735,14,10290
